Track,Artist,Collaboration,Album,Year,Genre,Explicit,LengthMinutes
Born Again,Leon Bridges & Robert Glasper,Yes,Gold-Diggers Sound,2021,R&B/Soul,notExplicit,3.7208
"Colors In The Dark (feat. Christian Scott aTunde Adjuah, Derrick Hodge, Taylor McFerrin & Justin Tyson)","R+R=NOW, Robert Glasper & Terrace Martin",Yes,"Collagically Speaking (feat. Christian Scott aTunde Adjuah, Derrick Hodge, Taylor McFerrin & Justin Tyson)",2018,Jazz,notExplicit,4.8094
Disco Break,Brasstracks & Robert Glasper,Yes,Golden Ticket (Deluxe Edition),2020,R&B/Soul,notExplicit,1.2922166666666666
Don't Turn Back Now,Robert Glasper & Ledisi,Yes,The Apollo Original Motion Picture Soundtrack (Original Motion Picture Soundtrack),2019,R&B/Soul,notExplicit,4.61555
First Responders,"Dinner Party, Terrace Martin, Robert Glasper, 9th Wonder & Kamasi Washington",Yes,Dinner Party,2020,R&B/Soul,notExplicit,4.826383333333333
Freeze Tag (feat. Phoelix),"Dinner Party, Terrace Martin, Robert Glasper, 9th Wonder & Kamasi Washington",Yes,Dinner Party,2020,R&B/Soul,notExplicit,3.19895
From My Heart and My Soul (feat. Phoelix),"Dinner Party, Terrace Martin, Robert Glasper, 9th Wonder & Kamasi Washington",Yes,Dinner Party,2020,R&B/Soul,notExplicit,2.5082666666666666
Ghetto Walkin',"Miles Davis, Robert Glasper & Bilal",Yes,Everything's Beautiful,2016,Jazz,notExplicit,3.6455166666666665
"How Much A Dollar Cost (feat. Christian Scott aTunde Adjuah, Derrick Hodge, Taylor McFerrin & Justin Tyson)","R+R=NOW, Robert Glasper & Terrace Martin",Yes,"R+R=Now Live (Live) [feat. Christian Scott aTunde Adjuah, Derrick Hodge, Taylor McFerrin & Justin Tyson]",2021,Jazz,notExplicit,4.131866666666666
I'm Leaving You (feat. Ledisi & John Scofield),Miles Davis & Robert Glasper,Yes,Everything's Beautiful,2016,Jazz,notExplicit,3.2266166666666667
Insane (feat. Ant Clemons),"Terrace Martin, Robert Glasper, Kamasi Washington & Dinner Party",Yes,Insane (feat. Ant Clemons) - Single,2023,R&B/Soul,notExplicit,2.8905333333333334
LUV U,"Dinner Party, Terrace Martin, Robert Glasper, 9th Wonder & Kamasi Washington",Yes,Dinner Party,2020,R&B/Soul,notExplicit,3.8325666666666667
Love You Bad (feat. Phoelix),"Dinner Party, Terrace Martin, Robert Glasper, 9th Wonder & Kamasi Washington",Yes,Dinner Party,2020,R&B/Soul,notExplicit,2.803383333333333
Milestones (feat. Georgia Ann Muldrow),Miles Davis & Robert Glasper,Yes,Everything's Beautiful,2016,Jazz,notExplicit,4.2771333333333335
Move Love (feat. King),Robert Glasper & King,Yes,Move Love (feat. KING) - Single,2012,R&B/Soul,notExplicit,3.3816
Sleepless Nights (feat. Phoelix),"Dinner Party, Terrace Martin, Robert Glasper, 9th Wonder & Kamasi Washington",Yes,Dinner Party,2020,R&B/Soul,notExplicit,2.9871
Song for Selim (feat. King),Miles Davis & Robert Glasper,Yes,Everything's Beautiful,2016,Jazz,notExplicit,2.66045
The Mighty Tree,"Dinner Party, Terrace Martin, Robert Glasper, 9th Wonder & Kamasi Washington",Yes,Dinner Party,2020,R&B/Soul,notExplicit,2.9084166666666667
They Can't Hold Me Down (feat. Illa J),Miles Davis & Robert Glasper,Yes,Everything's Beautiful,2016,Jazz,notExplicit,2.3027333333333333
Violets (feat. Phonte),Miles Davis & Robert Glasper,Yes,Everything's Beautiful,2016,Jazz,notExplicit,3.3947833333333333
